Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   â‚¹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
ADANIGREEN,16-Jun-2025,26-Jun-2025,989.50,999.70,968.60,994.50,995.90,994.50,5037.00,18682.12,16513500.00,3375.00,992.00
ADANIGREEN,16-Jun-2025,31-Jul-2025,1000.70,1006.70,976.00,1001.00,1003.00,1001.00,745.00,4456.00,982800.00,240600.00,992.00
ADANIGREEN,16-Jun-2025,28-Aug-2025,1002.10,1012.00,983.00,1007.50,1007.50,1007.50,55.00,327.80,108600.00,21600.00,992.00
ADANIGREEN,17-Jun-2025,26-Jun-2025,991.40,997.60,975.00,977.40,978.90,977.40,3627.00,13408.38,16348875.00,-164625.00,977.50
ADANIGREEN,17-Jun-2025,31-Jul-2025,998.50,1004.30,981.80,983.80,984.00,983.80,545.00,3245.23,1179000.00,196200.00,977.50
ADANIGREEN,17-Jun-2025,28-Aug-2025,1005.80,1005.80,989.20,990.70,989.90,990.70,47.00,282.02,124800.00,16200.00,977.50
ADANIGREEN,18-Jun-2025,26-Jun-2025,974.60,987.00,963.40,968.50,969.80,968.50,3030.00,11051.78,16236750.00,-112125.00,968.90
ADANIGREEN,18-Jun-2025,31-Jul-2025,983.60,992.00,970.00,975.00,975.00,975.00,507.00,2977.87,1350600.00,171600.00,968.90
ADANIGREEN,18-Jun-2025,28-Aug-2025,986.40,996.20,976.00,980.20,979.40,980.20,116.00,683.73,162000.00,37200.00,968.90
ADANIGREEN,19-Jun-2025,26-Jun-2025,970.30,972.20,929.10,935.30,930.70,935.30,8155.00,28860.48,15714375.00,-522375.00,934.00
ADANIGREEN,19-Jun-2025,31-Jul-2025,977.30,978.10,934.90,941.80,936.60,941.80,2253.00,12821.31,1975800.00,625200.00,934.00
ADANIGREEN,19-Jun-2025,28-Aug-2025,980.00,981.60,941.10,947.20,944.00,947.20,153.00,877.07,175800.00,13800.00,934.00
ADANIGREEN,20-Jun-2025,26-Jun-2025,930.90,959.10,930.90,949.80,952.00,949.80,8753.00,31120.65,14685375.00,-1029000.00,947.70
ADANIGREEN,20-Jun-2025,31-Jul-2025,948.80,964.40,942.80,955.50,959.80,955.50,3826.00,21906.29,3377400.00,1401600.00,947.70
ADANIGREEN,20-Jun-2025,28-Aug-2025,954.90,968.00,950.00,961.40,960.20,961.40,295.00,1702.15,259800.00,84000.00,947.70
ADANIGREEN,23-Jun-2025,26-Jun-2025,933.90,966.80,933.00,960.20,960.40,960.20,9123.00,32760.35,12840000.00,-1845375.00,960.50
ADANIGREEN,23-Jun-2025,31-Jul-2025,944.10,972.30,939.60,966.10,965.00,966.10,6209.00,35891.96,5473200.00,2095800.00,960.50
ADANIGREEN,23-Jun-2025,28-Aug-2025,950.90,976.60,948.00,971.30,971.40,971.30,184.00,1070.09,289800.00,30000.00,960.50
ADANIGREEN,24-Jun-2025,26-Jun-2025,970.30,1003.80,970.30,989.20,987.90,989.20,17379.00,64579.88,9151500.00,-3688500.00,987.30
ADANIGREEN,24-Jun-2025,31-Jul-2025,982.80,1009.80,975.50,995.20,994.10,995.20,11337.00,67806.44,9436200.00,3963000.00,987.30
ADANIGREEN,24-Jun-2025,28-Aug-2025,989.90,1013.60,987.40,1001.00,1001.90,1001.00,171.00,1028.16,300600.00,10800.00,987.30
ADANIGREEN,25-Jun-2025,26-Jun-2025,994.00,998.90,980.40,982.20,983.00,982.20,16110.00,59674.98,5276250.00,-3875250.00,981.10
ADANIGREEN,25-Jun-2025,31-Jul-2025,996.60,1005.20,986.50,988.60,990.20,988.60,10147.00,60533.32,13343400.00,3907200.00,981.10
ADANIGREEN,25-Jun-2025,28-Aug-2025,1000.00,1008.90,993.70,994.80,997.00,994.80,169.00,1013.28,348600.00,48000.00,981.10
ADANIGREEN,26-Jun-2025,26-Jun-2025,985.50,994.50,975.10,991.70,989.70,992.00,18892.00,69807.56,1232625.00,-4043625.00,992.00
ADANIGREEN,26-Jun-2025,31-Jul-2025,995.30,1001.20,981.20,999.40,999.90,999.40,13332.00,79354.85,17203200.00,3859800.00,992.00
ADANIGREEN,26-Jun-2025,28-Aug-2025,998.90,1006.00,988.00,1004.70,1004.00,1004.70,335.00,2004.67,406800.00,58200.00,992.00
ADANIGREEN,27-Jun-2025,31-Jul-2025,1003.00,1055.00,1000.00,1020.50,1025.00,1020.50,10787.00,66741.79,16903200.00,-300000.00,1015.60
ADANIGREEN,27-Jun-2025,28-Aug-2025,1005.80,1059.00,1005.80,1027.10,1029.40,1027.10,483.00,3002.90,396000.00,-10800.00,1015.60
ADANIGREEN,27-Jun-2025,30-Sep-2025,1016.10,1065.10,1016.10,1033.40,1035.00,1033.40,52.00,324.96,13800.00,13800.00,1015.60
ADANIGREEN,30-Jun-2025,31-Jul-2025,1027.00,1039.00,1019.30,1030.00,1031.10,1030.00,3206.00,19795.43,16867200.00,-36000.00,1025.60
ADANIGREEN,30-Jun-2025,28-Aug-2025,1033.10,1044.90,1025.40,1035.90,1038.00,1035.90,112.00,695.87,401400.00,5400.00,1025.60
ADANIGREEN,30-Jun-2025,30-Sep-2025,1036.00,1046.70,1032.70,1039.60,1039.60,1039.60,17.00,106.04,13200.00,-600.00,1025.60
ADANIGREEN,01-Jul-2025,31-Jul-2025,1032.30,1042.00,1010.90,1022.40,1024.30,1022.40,4409.00,27108.01,16746600.00,-120600.00,1015.70
ADANIGREEN,01-Jul-2025,28-Aug-2025,1038.40,1047.90,1017.50,1028.20,1028.30,1028.20,276.00,1705.58,448200.00,46800.00,1015.70
ADANIGREEN,01-Jul-2025,30-Sep-2025,1044.80,1051.20,1028.30,1034.70,1034.70,1034.70,24.00,149.81,20400.00,7200.00,1015.70